participantId,task,duration_sec,format
66992f58a7964f557fc75f58,modifying-task-tabular-2,49.363,toml
66992f58a7964f557fc75f58,modifying-task-tabular-2_post-task-question,3.199,toml
66992f58a7964f557fc75f58,modifying-task-tabular-3,28.222,toml
66992f58a7964f557fc75f58,modifying-task-tabular-3_post-task-question,4.102,toml
66992f58a7964f557fc75f58,modifying-task-tabular-4,61.473,toml
66992f58a7964f557fc75f58,modifying-task-tabular-4_post-task-question,2.634,toml
66992f58a7964f557fc75f58,$nasa-tlx.co.nasa-tlx,9.65,toml
66992f58a7964f557fc75f58,post-task-survey-tlx,24.61,toml
60721c2da01b3a616edba9a7,introduction,75.463,xml
60721c2da01b3a616edba9a7,qualifications,12.708,xml
60721c2da01b3a616edba9a7,consent,31.289,xml
60721c2da01b3a616edba9a7,task,77.813,xml
60721c2da01b3a616edba9a7,writing-task-NL,239.506,xml
60721c2da01b3a616edba9a7,writing-task-NL_post-task-question,7.296,xml
60721c2da01b3a616edba9a7,tutorial-part1,277.262,xml
60721c2da01b3a616edba9a7,tutorial-part2,352.41,xml
60721c2da01b3a616edba9a7,reading-task-tabular-1,93.27,xml
60721c2da01b3a616edba9a7,reading-task-tabular-1_post-task-question,7.814,xml
60721c2da01b3a616edba9a7,reading-task-tabular-2,52.574,xml
60721c2da01b3a616edba9a7,reading-task-tabular-2_post-task-question,5.041,xml
60721c2da01b3a616edba9a7,reading-task-tabular-3,49.709,xml
60721c2da01b3a616edba9a7,reading-task-tabular-3_post-task-question,8.562,xml
60721c2da01b3a616edba9a7,reading-task-tabular-4,130.992,xml
60721c2da01b3a616edba9a7,reading-task-tabular-4_post-task-question,4.594,xml
60721c2da01b3a616edba9a7,reading-task-tabular-5,120.381,xml
60721c2da01b3a616edba9a7,reading-task-tabular-5_post-task-question,4.532,xml
60721c2da01b3a616edba9a7,writing-task-tabular,1076.7033843011584,xml
60721c2da01b3a616edba9a7,writing-task-tabular_post-task-question,6.981,xml
60721c2da01b3a616edba9a7,modifying-task-tabular-1,674.103,xml
60721c2da01b3a616edba9a7,modifying-task-tabular-1_post-task-question,5.908,xml
60721c2da01b3a616edba9a7,modifying-task-tabular-2,140.874,xml
60721c2da01b3a616edba9a7,modifying-task-tabular-2_post-task-question,2.482,xml
